Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Conv5 active,Conv5 num filters,Conv5 batch normalization,Conv5 activation,Conv5 dropout,Conv5 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,16,1,0,4,1,0,64,0,0,4,0,0,64,1,0,6,1,1,256,0,1,1,1,1,64,1,1,5,2,0,16,0,0,0,0,1,64,1,1,7,3,0.034585766214993784,0.9888
1,256,0,0,4,2,0,128,0,1,3,0,0,256,1,0,0,2,1,32,0,1,2,1,0,32,1,0,7,0,0,64,1,1,6,0,0,512,1,0,7,2,14.535298265075683,0.0982
1,32,1,0,4,2,1,16,1,1,10,0,0,16,1,0,10,2,0,128,1,0,0,1,0,64,0,1,2,2,0,8,1,0,2,2,0,512,1,0,10,2,14.461155044555664,0.1028
1,16,1,0,2,0,1,128,0,0,2,0,0,64,1,1,5,1,1,128,0,1,7,2,0,8,0,0,0,0,0,8,0,0,0,0,0,256,1,1,2,1,14.535298265075683,0.0982
1,256,0,1,4,2,1,256,0,0,7,1,1,64,1,0,0,0,0,256,1,0,6,1,0,16,1,1,1,2,0,16,1,1,9,2,1,512,0,0,7,2,14.535298265075683,0.0982
1,16,1,1,4,2,0,128,0,0,10,0,1,256,1,1,8,2,1,16,0,1,10,2,1,128,0,1,0,2,0,256,0,0,4,2,1,16,1,0,2,0,0.05006499925022945,0.9849
1,16,1,0,4,1,0,64,0,0,4,0,0,64,1,0,6,1,1,256,0,1,1,1,1,64,1,1,5,2,0,16,0,0,0,0,1,64,1,0,2,0,0.032330395293002946,0.9892
1,64,0,1,1,1,0,32,0,0,2,1,0,32,1,1,1,0,0,16,0,0,2,1,1,8,1,0,4,1,1,16,0,1,3,2,0,128,1,1,7,3,0.8314270582199097,0.7768
1,32,1,0,1,0,1,32,1,1,2,0,0,16,0,0,8,1,1,128,1,1,5,0,0,128,0,1,2,2,1,16,0,1,3,0,0,256,1,0,2,0,0.08352620171438903,0.9728
1,8,1,0,6,0,0,16,1,0,3,1,1,128,1,0,8,1,1,8,1,0,4,1,1,32,0,1,4,1,1,64,1,0,0,1,1,32,0,1,8,1,0.12963855833262206,0.9567
